event_id,event_time,event_date,event_hour,custom_track,uid,job_id,campaign_id,group_id,publisher_id,device_type,revenue,bid,bn,cd,de,dl,dt,ed,ev,md,rl,sr,ts,tz,ua,utm_source,v,vp
93d55890-3440-4d61-b52c-a576f0e68302,2024-02-01 05:52:00,2024-02-01,5,click,1-d605eqrr-l5m5ugxa,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://129.213.68.90/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":10,""publisherId"":0,""userId"":78}",2.0,True,unknown,1920x1080,2022-07-18 07:05:11.130,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1920x887
dbcc205d-09a1-4569-bfba-6ca0756802d4,2024-02-01 00:37:00,2024-02-01,0,click,1-rrc3k5vd-l4o0b4yy,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://localhost:4200/candidate-portal/job/191,CandidatePortal,"{""customEvent"":""click"",""jobId"":""191"",""publisherId"":0,""userId"":123}",2.0,True,http://localhost:4200/candidate-portal/job,1920x1080,2022-07-12 03:01:28.527,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1367x929
1f4d43ca-6c47-41ca-868f-e3e47e30d459,2024-01-18 04:55:00,2024-01-18,4,unknown,1-347wwfkr-l632u1zk,258,93,0,1,desktop,0,1.0,Chrome 103,24.0,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/ec972305bf4fd6cdf2b3701dbebc4a5385bd3258?param1=258&param2=1,CandidatePortal,unknown,1.0,True,unknown,1366x768,2022-07-27 04:00:23.291,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x625
c27ef7f4-d502-4850-95f9-abc80832fa87,2024-01-14 20:34:00,2024-01-14,20,alive,1-347wwfkr-l632u1zk,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/188?jobId=188&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""188"",""publisherId"":""1"",""stayed_alive"":10}",2.0,True,unknown,1366x768,2022-07-27 04:00:27.243,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x625
b735d10e-788f-4587-8e92-f3a7b7dd82ff,2024-01-28 18:22:00,2024-01-28,18,unknown,1-vk7kksgd-l5tjg8wn,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://fe.stag.gotoro.io/candidate-portal/confirm-interview?calendarId=26&availableId=81&jobId=390&publisherIds=,CandidatePortal,unknown,1.0,True,unknown,1920x1080,2022-07-25 12:14:53.710,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1920x947
c071575f-95d1-4237-b318-2e288fa9d2ae,2024-03-03 01:06:00,2024-03-03,1,unqualified,1-o23lt45w-l516d965,0,0,0,0,desktop,0,0.0,Chrome 96,24.0,UTF-8,http://150.136.2.86/candidate-portal/profile,CandidatePortal,"{""customEvent"":""unqualified"",""publisherId"":0,""userId"":276}",2.0,True,unknown,1920x1080,2022-07-11 16:44:52.955,-420.0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",unknown,1.0,1920x919
0456749d-324c-40e8-a04c-660da48bf65b,2024-01-19 02:33:00,2024-01-19,2,unknown,1-rb4yzwxv-l601lrry,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://fe.test.gotoro.io/candidate-portal/job/1,CandidatePortal,unknown,1.0,True,unknown,1366x768,2022-07-25 01:00:35.422,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x768
d8e72211-b2b9-40fc-91fb-1e5653c70ba1,2024-02-12 08:21:00,2024-02-12,8,alive,1-347wwfkr-l632u1zk,0,0,0,0,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/258?jobId=258&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""258"",""publisherId"":""1"",""stayed_alive"":10}",2.0,True,unknown,1366x768,2022-07-27 04:02:40.993,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x625
9614aa17-de60-4fb5-a1e7-0c2d0bb37157,2024-02-09 18:05:00,2024-02-09,18,click,1-zof0i457-l5ze6uuv,188,48,34,1,desktop,0,1.0,Chrome 103,24.0,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""188"",""publisherId"":""1""}",2.0,True,unknown,1366x768,2022-07-24 14:07:33.270,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x625
1dce7393-6fa5-4d97-89cf-c8f78efc74ef,2024-02-25 19:09:00,2024-02-25,19,unknown,1-yh82s4al-l60jlqwa,1530,222,0,1,desktop,0,0.0,Chrome 103,24.0,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/700021a879721bc97b85d800ff96e8c72b3e9869?param1=1530&param2=1,CandidatePortal,unknown,1.0,True,unknown,1366x768,2022-07-25 09:56:06.975,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",unknown,1.0,1366x568
